"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,5.11157761208922e-16,1.16041045000461e-09,1.45674023203967e-08,0.000843878377978246,0.000533578842385887,0.31537806062096,0.103130794557435,0.995309297372394
"2",5.11157761208922e-16,1,0.0363004698563374,0.00464631130313785,1.05673236992821e-07,1.03478255386549e-07,4.28534784896984e-15,1.3237749917522e-13,1.03997018963338e-19
"3",1.16041045000461e-09,0.0363004698563374,1,0.49739716453073,0.00119623350550322,0.00130201597759963,7.5045513261713e-09,8.91871474974016e-08,1.49718621648509e-12
"4",1.45674023203967e-08,0.00464631130313785,0.49739716453073,1,0.00685674107889647,0.00720552018221951,7.00600890278067e-08,6.66636172576471e-07,1.55253439654768e-11
"5",0.000843878377978246,1.05673236992821e-07,0.00119623350550322,0.00685674107889647,1,0.936193545844445,0.00775617328310517,0.0267003135812745,6.21246759117033e-05
"6",0.000533578842385887,1.03478255386549e-07,0.00130201597759963,0.00720552018221951,0.936193545844445,1,0.00518322701763442,0.017857947003369,3.09745766303215e-05
"7",0.31537806062096,4.28534784896984e-15,7.5045513261713e-09,7.00600890278067e-08,0.00775617328310517,0.00518322701763442,1,0.623755078018923,0.183879570967691
"8",0.103130794557435,1.3237749917522e-13,8.91871474974016e-08,6.66636172576471e-07,0.0267003135812745,0.017857947003369,0.623755078018923,1,0.0693598689094136
"9",0.995309297372394,1.03997018963338e-19,1.49718621648509e-12,1.55253439654768e-11,6.21246759117033e-05,3.09745766303215e-05,0.183879570967691,0.0693598689094136,1
"10",0,0,0,0,0,0,0,0,0
"11",-2.30214332355411e-18,0.144597944239778,0.10852003456588,0.10104766452904,0.0595238095238095,0.0617585391367626,0.0179037613135034,0.0290642197662255,0.000105062082139445
"12",-0.144597944239778,4.49375986157801e-19,-0.03730589569161,-0.0504394557823129,-0.0947403628117914,-0.0948083900226757,-0.139816326530612,-0.131930839002268,-0.161883900226757
"13",-0.10852003456588,0.03730589569161,9.7103211714797e-19,-0.0120922902494331,-0.0577310657596372,-0.0572990929705215,-0.10298253968254,-0.0952891156462585,-0.126068027210884
"14",-0.10104766452904,0.0504394557823129,0.0120922902494331,4.8061133446036e-19,-0.0481789115646258,-0.0478843537414966,-0.0960648526077097,-0.0885775510204082,-0.120154648526077
"15",-0.0595238095238095,0.0947403628117914,0.0577310657596372,0.0481789115646258,-2.26902863231264e-18,0.00142675736961452,-0.0474444444444444,-0.0394857142857143,-0.0713596371882086
"16",-0.0617585391367626,0.0948083900226757,0.0572990929705215,0.0478843537414966,-0.00142675736961452,-5.81597022526153e-19,-0.049812925170068,-0.0422063492063492,-0.0742390022675737
"17",-0.0179037613135034,0.139816326530612,0.10298253968254,0.0960648526077097,0.0474444444444444,0.049812925170068,-2.35225405621962e-18,0.00874126984126983,-0.0236804988662132
"18",-0.0290642197662255,0.131930839002268,0.0952891156462585,0.0885775510204082,0.0394857142857143,0.0422063492063492,-0.00874126984126984,-7.13714801544743e-19,-0.0323614512471655
"19",-0.000105062082139444,0.161883900226757,0.126068027210884,0.120154648526077,0.0713596371882086,0.0742390022675737,0.0236804988662132,0.0323614512471655,-1.19391310660606e-18
