"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,1.06476125910186e-07,1.16215234874532e-22,1.97435205821165e-92,1.29103364752238e-262,7.42080407223103e-172,7.42093941601904e-172,1.8407751143797e-131,6.79390598564096e-147,2.14037037448761e-137,7.42090933940923e-172
"2",1.06476125910186e-07,1,2.78221599872333e-55,1.1317080314803e-231,0,4.04397384731824e-227,4.04399647406343e-227,1.3998332043551e-161,3.17222370736716e-183,8.80665686542668e-178,4.04399144588721e-227
"3",1.16215234874532e-22,2.78221599872333e-55,1,1.30220264161539e-09,1.12680765335764e-235,1.95367176852684e-158,1.95371471086096e-158,6.15181115511158e-102,2.21138505602597e-122,5.91590896578675e-138,1.9537051680389e-158
"4",1.97435205821165e-92,1.1317080314803e-231,1.30220264161539e-09,1,0,4.11773279784933e-239,4.11774842912317e-239,1.49742969490764e-185,1.32972208765858e-215,9.42241557775514e-230,4.11774495550067e-239
"5",1.29103364752238e-262,0,1.12680765335764e-235,0,1,4.12043788793574e-239,4.12045352944089e-239,2.80639862148033e-167,5.65277863789962e-59,3.18041087338861e-233,4.1204500535453e-239
"6",7.42080407223103e-172,4.04397384731824e-227,1.95367176852684e-158,4.11773279784933e-239,4.12043788793574e-239,1,1.95397715663056e-158,1.95281788817227e-158,1.9536192847269e-158,1.95069195673935e-158,1.95396761253396e-158
"7",7.42093941601904e-172,4.04399647406343e-227,1.95371471086096e-158,4.11774842912317e-239,4.12045352944089e-239,1.95397715663056e-158,1,1.95286081184188e-158,1.95366222591349e-158,1.95073483393917e-158,4.55444484954067e-153
"8",1.8407751143797e-131,1.3998332043551e-161,6.15181115511158e-102,1.49742969490764e-185,2.80639862148033e-167,1.95281788817227e-158,1.95286081184188e-158,1,1.71925312899001e-58,2.87295978833935e-154,1.95285127316754e-158
"9",6.79390598564096e-147,3.17222370736716e-183,2.21138505602597e-122,1.32972208765858e-215,5.65277863789962e-59,1.9536192847269e-158,1.95366222591349e-158,1.71925312899001e-58,1,1.58445876925914e-154,1.95365268334668e-158
"10",2.14037037448761e-137,8.80665686542668e-178,5.91590896578675e-138,9.42241557775514e-230,3.18041087338861e-233,1.95069195673935e-158,1.95073483393917e-158,2.87295978833935e-154,1.58445876925914e-154,1,1.95072530559154e-158
"11",7.42090933940923e-172,4.04399144588721e-227,1.9537051680389e-158,4.11774495550067e-239,4.1204500535453e-239,1.95396761253396e-158,4.55444484954067e-153,1.95285127316754e-158,1.95365268334668e-158,1.95072530559154e-158,1
"12",0,0,0,0,0,0,0,0,0,0,0
"13",4.11996825544492e-19,0.155538439594922,-0.350566520467836,-0.579433918128655,-0.983707602339181,-1,-1,-0.873011695906433,-0.923585526315789,0.892796052631579,-1
"14",-0.155538439594922,4.82161453942741e-20,-0.486764905149052,-0.721873170731707,-0.997511653116531,-1,-1,-0.841885162601626,-0.897183265582656,0.883600948509485,-1
"15",0.350566520467836,0.486764905149052,1.28681245346873e-18,-0.183738888888889,-0.992722222222222,-1,-1,-0.799296875,-0.877222222222222,0.932230902777778,-1
"16",0.579433918128655,0.721873170731707,0.183738888888889,-5.36680075380325e-19,-0.999920444444444,-1,-1,-0.879783333333333,-0.949106944444444,0.980054166666667,-1
"17",0.983707602339181,0.997511653116531,0.992722222222222,0.999920444444444,-4.07732296999382e-19,-1,-1,0.834829166666667,0.490391666666667,0.9875,-1
"18",1,1,1,1,1,-2.43719613356637e-19,1,1,1,1,1
"19",1,1,1,1,1,-1,2.25875452601147e-22,1,1,1,-0.982690972222222
"20",0.873011695906433,0.841885162601626,0.799296875,0.879783333333333,-0.834829166666667,-1,-1,1.28681245346873e-18,-0.601236979166667,0.986584201388889,-1
"21",0.923585526315789,0.897183265582656,0.877222222222222,0.949106944444444,-0.490391666666667,-1,-1,0.601236979166667,1.33018054036815e-18,0.987421875,-1
"22",-0.892796052631579,-0.883600948509485,-0.932230902777778,-0.980054166666667,-0.9875,-1,-1,-0.986584201388889,-0.987421875,-1.72794721239877e-19,-1
"23",1,1,1,1,1,-1,0.982690972222222,1,1,1,0
